#C:/Users/KIMED 1/Documents/Junaidin/iGEMDOCKv2.1/output/extracted_cav/cav4mxo_DB8.pdb with C:/Users/KIMED 1/Documents/Junaidin/Docking/SrcHum-nofilter/gemdock_out/docking.lst
#Ligand	TotalEnergy	VDW	HBond	Elec	AverConPair	
cav4mxo_DB8-1888906812-0.pdb	-70.4598	-56.4598	-14	0	19.0952
cav4mxo_DB8-1888908386-0.pdb	-69.4942	-67.7637	-1.73052	0	21.8636
cav4mxo_DB8-1888908387-0.pdb	-76.9901	-66.4284	-10.5617	0	20.0909
cav4mxo_DB8-1888913245-0.pdb	-52.9142	-44.9944	-7.91984	0	22.2727
cav4mxo_DB8-1888913294-0.pdb	-78.1427	-57.9649	-20.1778	0	16.7917
cav4mxo_DB8-1888913295-0.pdb	-77.5951	-67.6761	-9.91893	0	18.9167
cav4mxo_DB8-1888986378-0.pdb	-82.2747	-82.2747	0	0	21.76
cav4mxo_DB8-1889040386-0.pdb	-96.9187	-86.1134	-10.8053	0	18.4848
cav4mxo_DB8-1889186325-0.pdb	-82.9666	-76.1113	-6.85531	0	26.3333
cav4mxo_DB8-1889186675-0.pdb	-85.8371	-75.3829	-10.4542	0	25.9048
cav4mxo_DB8-2037838333-0.pdb	-76.2595	-66.9417	-9.31783	0	20.0455
cav4mxo_DB8-2037880194-0.pdb	-96.4204	-87.6645	-8.7559	0	22.871
cav4mxo_DB8-2086865341-0.pdb	-82.3678	-78.887	-3.48084	0	24.381
cav4mxo_DB8-2087045484-0.pdb	-79.7434	-73.0257	-6.71763	0	20.75
cav4mxo_DB8-2087045485-0.pdb	-80.3464	-68.2181	-12.1283	0	19.1667
cav4mxo_DB8-2100480689-0.pdb	-101.316	-82.3114	-19.0051	0	20.8148
cav4mxo_DB8-2100534587-0.pdb	-88.298	-81.298	-7	0	21.64
cav4mxo_DB8-2100539649-0.pdb	-97.5927	-76.9386	-20.6541	0	21.4167
cav4mxo_DB8-2325700251-0.pdb	-107.596	-86.6743	-20.9215	0	21.2414
cav4mxo_DB8-2325704401-0.pdb	-99.9069	-89.255	-10.6519	0	18.303
cav4mxo_DB8-2325732850-0.pdb	-83.7957	-72.2238	-11.5719	0	28.35
cav4mxo_DB8-2325739807-0.pdb	-95.7345	-80.2468	-15.4877	0	20.4074
cav4mxo_DB8-2325774156-0.pdb	-79.6338	-69.3773	-10.2564	0	20.2273
cav4mxo_DB8-2325786897-0.pdb	-77.0923	-67.3655	-9.7268	0	26.5
cav4mxo_DB8-2325810563-0.pdb	-81.4956	-77.9956	-3.5	0	23.1304
cav4mxo_DB8-2325818776-0.pdb	-72.581	-61.5144	-11.0666	0	22
cav4mxo_DB8-2325824596-0.pdb	-98.472	-94.4073	-4.06468	0	22.7667
cav4mxo_DB8-2325825025-0.pdb	-104.768	-84.5579	-20.2101	0	18.9
cav4mxo_DB8-2325825321-0.pdb	-99.6295	-96.3065	-3.32305	0	21.3
cav4mxo_DB8-2325825322-0.pdb	-101.358	-97.8578	-3.5	0	21.9667
cav4mxo_DB8-2325827712-0.pdb	-94.6611	-62.2708	-32.3902	0	16.5806
cav4mxo_DB8-2325830885-0.pdb	-110.052	-86.3174	-23.735	0	16.8378
cav4mxo_DB8-2325831987-0.pdb	-128.503	-104.948	-23.5553	0	14.9608
cav4mxo_DB8-2325841329-0.pdb	-92.0869	-76.2095	-15.8774	0	18.5385
cav4mxo_DB8-2325843629-0.pdb	-82.7773	-76.4107	-6.3666	0	17.0476
cav4mxo_DB8-2325844257-0.pdb	-108.477	-103.448	-5.02913	0	14.4167
cav4mxo_DB8-2325860377-0.pdb	-82.9504	-73.7237	-9.22673	0	24.2609
cav4mxo_DB8-2325862250-0.pdb	-101.748	-84.176	-17.5717	0	22.7857
cav4mxo_DB8-2325870620-0.pdb	-86.2785	-63.6895	-22.589	0	19.087
cav4mxo_DB8-2325870855-0.pdb	-90.7437	-71.0955	-19.6481	0	23.25
cav4mxo_DB8-2325870856-0.pdb	-83.6147	-73.8932	-9.7215	0	24
cav4mxo_DB8-2325875954-0.pdb	-89.5878	-78.6328	-12.7042	1.74921	22.72
cav4mxo_DB8-2325875955-0.pdb	-96.5022	-90.1042	-7.41628	1.01836	24.84
cav4mxo_DB8-2325876257-0.pdb	-104.985	-90.09	-14.8953	0	20.4333
cav4mxo_DB8-2356135070-0.pdb	-89.8157	-87.1475	-2.66821	0	22.963
cav4mxo_DB8-2356147972-0.pdb	-88.2372	-81.2372	-7	0	22.5833
cav4mxo_DB8-2356149515-0.pdb	-88.5428	-77.0321	-11.5108	0	22.3333
cav4mxo_DB8-2356150303-0.pdb	-82.934	-63.6389	-19.2951	0	23.8182
cav4mxo_DB8-2356152769-0.pdb	-93.5157	-58.6505	-34.8652	0	17.96
cav4mxo_DB8-2356153831-0.pdb	-88.1492	-83.8451	-4.30412	0	23.52
cav4mxo_DB8-2356156500-0.pdb	-86.0665	-74.5684	-11.4981	0	18.8846
cav4mxo_DB8-2356169402-0.pdb	-98.9333	-68.5866	-30.3467	0	20.0833
cav4mxo_DB8-2356170311-0.pdb	-81.3562	-70.8562	-10.5	0	26.8261
cav4mxo_DB8-ZINC000000083743-0.pdb	-93.5445	-79.5445	-14	0	21.28
cav4mxo_DB8-ZINC000000104097-0.pdb	-84.1752	-73.9597	-10.2155	0	26.5455
cav4mxo_DB8-ZINC000000144049-0.pdb	-69.1004	-65.6004	-3.5	0	19.5238
cav4mxo_DB8-ZINC000000183193-0.pdb	-85.6519	-71.6947	-13.9573	0	19.8
cav4mxo_DB8-ZINC000000195122-0.pdb	-86.3221	-84.24	-2.08215	0	23.52
cav4mxo_DB8-ZINC000000200574-0.pdb	-84.2821	-81.567	-2.71506	0	21.96
cav4mxo_DB8-ZINC000000200584-0.pdb	-82.9642	-75.2683	-7.69586	0	21.76
cav4mxo_DB8-ZINC000000245257-0.pdb	-71.1923	-67.8251	-3.36718	0	25
cav4mxo_DB8-ZINC000000256336-0.pdb	-76.3787	-76.3787	0	0	23.7
cav4mxo_DB8-ZINC000000320590-0.pdb	-99.3087	-83.5697	-15.7389	0	22
cav4mxo_DB8-ZINC000000320592-0.pdb	-87.0264	-72.7797	-14.2466	0	19.7917
cav4mxo_DB8-ZINC000000320594-0.pdb	-94.9136	-81.2826	-13.631	0	21.16
cav4mxo_DB8-ZINC000000348947-0.pdb	-74.9364	-68.5676	-6.36886	0	22.3478
cav4mxo_DB8-ZINC000000411487-0.pdb	-80.271	-80.271	0	0	22
cav4mxo_DB8-ZINC000000426382-0.pdb	-92.8378	-82.3427	-10.4952	0	23.72
cav4mxo_DB8-ZINC000000459730-0.pdb	-80.4997	-77.1263	-3.37342	0	23.2273
cav4mxo_DB8-ZINC000000521923-0.pdb	-79.1926	-76.254	-2.93854	0	19.84
cav4mxo_DB8-ZINC000000554442-0.pdb	-78.7018	-77.0003	-1.7015	0	22.619
cav4mxo_DB8-ZINC000000639677-0.pdb	-93.0182	-79.0182	-14	0	19.6296
cav4mxo_DB8-ZINC000000645447-0.pdb	-87.7283	-79.8321	-7.89621	0	22.1923
cav4mxo_DB8-ZINC000000648840-0.pdb	-91.7536	-80.5356	-11.2181	0	17.5
cav4mxo_DB8-ZINC000000648974-0.pdb	-110.382	-100.178	-10.2043	0	21.9697
cav4mxo_DB8-ZINC000000648977-0.pdb	-87.6564	-77.684	-9.9724	0	15.2121
cav4mxo_DB8-ZINC000000649085-0.pdb	-87.0085	-83.5085	-3.5	0	17.2286
cav4mxo_DB8-ZINC000000649086-0.pdb	-96.6047	-91.54	-5.06466	0	20.2941
cav4mxo_DB8-ZINC000000649089-0.pdb	-86.258	-78.4131	-7.84491	0	15.2
cav4mxo_DB8-ZINC000000649101-0.pdb	-98.8602	-81.7348	-17.1254	0	17.7222
cav4mxo_DB8-ZINC000000649116-0.pdb	-96.7074	-81.5713	-15.1361	0	17.0294
cav4mxo_DB8-ZINC000000649122-0.pdb	-103.273	-99.7733	-3.5	0	19.2571
cav4mxo_DB8-ZINC000000649296-0.pdb	-105.49	-89.0481	-16.4421	0	22.5641
cav4mxo_DB8-ZINC000000649527-0.pdb	-106.108	-95.6083	-10.5	0	20.303
cav4mxo_DB8-ZINC000000649540-0.pdb	-94.3409	-86.6904	-7.65053	0	17.4706
