#C:/Users/KIMED 1/Documents/Junaidin/Docking/SrcHum-nofilter/extracted_cav/cav1m17_AQ4.pdb with C:/Users/KIMED 1/Documents/Junaidin/Docking/EGFRfarma/egfrnofilter/gemdock_out/docking.lst
#Ligand	TotalEnergy	VDW	HBond	Elec	AverConPair	
cav1m17_AQ4-1775972811-0.pdb	-84.3383	-72.6388	-11.6995	0	22
cav1m17_AQ4-1775988444-0.pdb	-72.376	-68.876	-3.5	0	22.4091
cav1m17_AQ4-1775997280-0.pdb	-83.6754	-70.7051	-12.9702	0	19.6667
cav1m17_AQ4-1776002391-0.pdb	-74.6601	-74.6601	0	0	22.2273
cav1m17_AQ4-1776002396-0.pdb	-73.2686	-69.8985	-3.37011	0	20.3043
cav1m17_AQ4-1776003201-0.pdb	-106.369	-95.8783	-10.4907	0	21.8571
cav1m17_AQ4-1776003255-0.pdb	-100.349	-78.0708	-22.278	0	23.0769
cav1m17_AQ4-1776111702-0.pdb	-115.687	-100.916	-14.771	0	20.1111
cav1m17_AQ4-1857667472-0.pdb	-81.3499	-66.8772	-14.4727	0	24.9565
cav1m17_AQ4-1857667473-0.pdb	-92.5979	-77.5331	-15.0648	0	22.3043
cav1m17_AQ4-1857679496-0.pdb	-84.9209	-74.4642	-10.4568	0	22.1304
cav1m17_AQ4-1857680662-0.pdb	-85.6956	-77.2875	-8.40804	0	22.7727
cav1m17_AQ4-1857692157-0.pdb	-88.2569	-73.0725	-15.1845	0	19.1667
cav1m17_AQ4-1857692158-0.pdb	-87.1408	-78.9913	-8.14944	0	23.7083
cav1m17_AQ4-1857700351-0.pdb	-87.3735	-74.3303	-13.0431	0	21
cav1m17_AQ4-1857708016-0.pdb	-81.3356	-56.2239	-25.1117	0	19.5217
cav1m17_AQ4-1857711226-0.pdb	-98.6803	-66.7985	-31.8818	0	23.3043
cav1m17_AQ4-1875259509-0.pdb	-106.329	-102.829	-3.5	0	19.7059
cav1m17_AQ4-1875267050-0.pdb	-86.976	-64.8551	-22.1208	0	20.5833
cav1m17_AQ4-1875270332-0.pdb	-98.6326	-69.5462	-29.0864	0	23.3043
cav1m17_AQ4-1875270333-0.pdb	-92.0037	-68.8556	-23.1481	0	21.3182
cav1m17_AQ4-1875282056-0.pdb	-84.0768	-65.5854	-18.4914	0	20.2381
cav1m17_AQ4-1875283398-0.pdb	-88.6	-69.9317	-18.6683	0	22.9565
